Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
SRR6412998.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_8_53.7081;Contig_8_53.7081;Contig_159_61.6536;	1890-3281;22-1188;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR6799244.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_138_53.8105;Contig_138_53.8105;Contig_112_52.6036;	67339-68730;65471-66637;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR7048449.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.98;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	98;100;100;	Contig_28_76.1481;Contig_27_73.7283;Contig_139_73.7535;	30264-31628;63567-64733;11436-13193;	1365;1167;1758;	v1.0 (11-03-2020)	-
SRR7244099.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.998;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;99.797;100;	100;100;100;	Contig_58_36.0825;Contig_58_36.0825;Contig_141_39.9329;	1755-3146;70-1053;11436-13193;	1392;984;1758;	v1.0 (11-03-2020)	-
SRR7244129.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:1;fliC:1;	O157-1-wzx-origin;H7-1-fliC-origin;	100;100;	100;100;	Contig_24_31.1532;Contig_210_116.736;	371-1762;147767-149524;	1392;1758;	v1.0 (11-03-2020)	-
SRR7439053.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:0.74;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	100;74;100;	Contig_205_17.5889;Contig_205_17.5889;Contig_166_94.8535;	1427-2818;1-725;11436-13193;	1392;725;1758;	v1.0 (11-03-2020)	-
SRR7479055.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_151_72.0524;Contig_151_72.0524;Contig_34_98.1345;	65424-66815;63556-64722;12975-14732;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR7620643.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.49;wzy:0.78;fliC:1;	O157-18-wzx;O157-124-wzy;H7-1-fliC-origin;	100;100;100;	49;78;100;	Contig_131_47.4129;Contig_225_16.283;Contig_321_51.0491;	2-686;1-912;11436-13193;	685;912;1758;	v1.0 (11-03-2020)	-
SRR7767425.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzy:0.63;fliC:1;	O157-124-wzy;H7-1-fliC-origin;	100;100;	63;100;	Contig_189_5.23636;Contig_203_54.0546;	1-734;11436-13193;	734;1758;	v1.0 (11-03-2020)	-
SRR7806388.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.49;wzy:0.84;fliC:1;	O157-3-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	49;84;100;	Contig_258_8.56662;Contig_242_7.22236;Contig_186_43.369;	88-763;1-825;11436-13193;	676;825;1758;	v1.0 (11-03-2020)	-
SRR8084879.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_35_87.2789;Contig_35_87.2789;Contig_120_94.6164;	65439-66830;63571-64737;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR8316981.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.95;wzy:0.52;fliC:1;	O157-1-wzx-origin;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	95;52;100;	Contig_42_96.3247;Contig_61_22.2048;Contig_104_114.574;	30264-31582;1-512;11644-13401;	1319;512;1758;	v1.0 (11-03-2020)	-
SRR9067734.skesa	-	O157	H7	O157:H7	-	Based on 2 allele(s)	wzx:0.5;fliC:1;	O157-16-wzx;H7-1-fliC-origin;	100;100;	50;100;	Contig_141_22.2944;Contig_193_94.0038;	1-696;12513-14270;	696;1758;	v1.0 (11-03-2020)	-
SRR9165513.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_113_35.4486;Contig_113_35.4486;Contig_122_37.8827;	65424-66815;63556-64722;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9278647.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_125_75.1599;Contig_7_78.8466;Contig_40_83.6782;	608-1999;45-1211;11437-13194;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9278648.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_33_126.414;Contig_173_131.227;Contig_51_141.907;	30264-31655;63581-64747;11437-13194;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9280510.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.55;wzy:0.52;fliC:1;	O157-16-wzx;O157-209-wzy;H7-1-fliC-origin;	100;100;100;	55;52;100;	Contig_28_114.65;Contig_46_28.5641;Contig_148_128.413;	30264-31030;1-512;11436-13193;	767;512;1758;	v1.0 (11-03-2020)	-
SRR9708994.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.48;wzy:1;fliC:1;	O157-3-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	48;100;100;	Contig_164_66.8803;Contig_164_66.8803;Contig_68_73.7806;	65424-66091;63556-64722;11652-13409;	668;1167;1758;	v1.0 (11-03-2020)	-
SRR9735423.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_42_53.5313;Contig_42_53.5313;Contig_133_56.6842;	65445-66836;63577-64743;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9735430.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_122_48.8093;Contig_122_48.8093;Contig_119_51.824;	65449-66840;63581-64747;11436-13193;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9834225.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_53_40.4264;Contig_53_40.4264;Contig_28_51.1266;	143335-144726;141467-142633;11718-13475;	1392;1167;1758;	v1.0 (11-03-2020)	-
SRR9861691.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:0.98;wzy:0.99;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	98;99;100;	Contig_11_46.2036;Contig_58_80.3348;Contig_181_83.9889;	1-1370;1-1159;11428-13185;	1370;1159;1758;	v1.0 (11-03-2020)	-
SRR9929241.skesa	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	Contig_177_52.3685;Contig_177_52.3685;Contig_158_55.322;	65448-66839;63580-64746;11428-13185;	1392;1167;1758;	v1.0 (11-03-2020)	-
